Type Name,LCOM1,LCOM4,YALCOM
AbstractDateTime,300,23,0.92
AbstractDuration,45,7,0.7
AbstractInstant,406,21,0.724137931
AbstractInterval,351,21,0.777777778
BaseDuration,90,7,0.466666667
BaseLocal,1,2,1
BaseSingleFieldPeriod,150,7,0.388888889
Days,325,16,0.615384615
